X Y 
25.7544 0
25.7108 0.102544
25.7107 0.102762
25.4183 0.285648
25.4182 0.285714
25.0081 0.42725
25.008 0.427318
24.7141 0.505719
24.7141 0.505792
24.1108 0.639034
24.1107 0.639094
23.7969 0.699276
23.7968 0.699345
23.2211 0.799408
23.221 0.799457
22.6017 0.896398
22.6016 0.896457
21.9023 0.996516
21.9021 0.996601
21.1202 1.09988
21.12 1.09994
20.3271 1.19768
20.3269 1.19774
19.4538 1.29906
19.4536 1.29911
18.1823 1.43749
18.1821 1.43754
17.5353 1.50454
17.5351 1.5046
16.5022 1.60776
16.5019 1.60781
15.199 1.73214
15.1988 1.73219
14.2999 1.81473
14.2997 1.81477
12.9584 1.93369
12.9581 1.93373
11.5848 2.0508
11.5845 2.05084
10.7157 2.12265
10.7155 2.1227
9.45409 2.22411
9.45382 2.22415
7.92464 2.34279
7.92438 2.34283
6.86406 2.42242
6.8638 2.42245
5.5467 2.51832
5.54642 2.51835
3.94605 2.6304
3.94579 2.63042
2.86604 2.7032
2.86573 2.70323
1.43493 2.79608
1.43464 2.7961
0.167643 2.87475
0.167355 2.87477
-1.18761 2.95495
-1.18806 2.95497
-2.52802 3.02999
-2.52832 3.03
-4.11286 3.11274
-4.11312 3.11275
-5.16756 3.16389
-5.16784 3.1639
-6.47119 3.22235
-6.47144 3.22235
-7.99382 3.2832
-7.99407 3.2832
-8.99618 3.31838
-8.99643 3.31837
-10.2146 3.35525
-10.2148 3.35524
-11.4157 3.38446
-11.4159 3.38444
-12.558 3.40471
-12.5582 3.40469
-13.6758 3.41634
-13.6761 3.41632
-14.9607 3.41793
-14.9609 3.4179
-15.7789 3.41122
-15.7791 3.41119
-16.7567 3.39487
-16.7583 3.39378
-17.7572 3.3635
-17.7574 3.36346
-18.5732 3.32731
-18.5734 3.32729
-19.3892 3.27841
-19.3894 3.27836
-20.2093 3.21323
-20.2095 3.21316
-20.8763 3.14497
-20.8765 3.14492
-21.5113 3.06338
-21.5115 3.06333
-22.1665 2.95615
-22.1666 2.95609
-22.6185 2.86309
-22.6187 2.86303
-23.0773 2.74545
-23.0774 2.74537
-23.4688 2.61693
-23.4689 2.61686
-23.7933 2.47774
-23.7934 2.47766
-24.0533 2.32651
-24.0533 2.32647
-24.246 2.16433
-24.2461 2.16422
-24.3706 1.99224
-24.3706 1.99218
-24.4286 1.80434
-24.4286 1.80425
-24.4124 1.5941
-24.4124 1.59399
-24.324 1.38531
-24.324 1.38523
-24.2009 1.2112
-24.2008 1.20942
-23.9924 0.990805
-23.9923 0.990729
-23.7226 0.767384
-23.7226 0.767339
-23.3781 0.5294
-23.378 0.529316
-22.9761 0.289431
-22.976 0.289367
-22.5326 0.0547315
-22.5323 0.0540999
-22.0166 -0.192917
-22.0165 -0.193046
-21.4426 -0.44412
-21.4424 -0.444229
-20.81 -0.699223
-20.8098 -0.699295
-20.1507 -0.946253
-20.1501 -0.946445
-19.4249 -1.20029
-19.4247 -1.20036
-18.6495 -1.45468
-18.6493 -1.45476
-17.7821 -1.7217
-17.7819 -1.72177
-16.9015 -1.9765
-16.9013 -1.97658
-15.9047 -2.24761
-15.9045 -2.24769
-15.0836 -2.4586
-15.0833 -2.45869
-14.0974 -2.69856
-14.0971 -2.69864
-13.0273 -2.94363
-13.0271 -2.94371
-11.9879 -3.16747
-11.9877 -3.16752
-10.8763 -3.39065
-10.8716 -3.39313
-9.83596 -3.58916
-9.83489 -3.58965
-8.70051 -3.7908
-8.70027 -3.79085
-7.55516 -3.97956
-7.5549 -3.97962
-6.47871 -4.1441
-6.47847 -4.14414
-5.30859 -4.30894
-5.30836 -4.30897
-3.91648 -4.48611
-3.91115 -4.48675
-2.92654 -4.59954
-2.92632 -4.59957
-1.73643 -4.72194
-1.73622 -4.72197
-0.448286 -4.83698
-0.443931 -4.83733
0.8012 -4.93082
0.801552 -4.93084
1.84133 -4.99522
1.84343 -4.99533
3.02441 -5.05282
3.02468 -5.05283
4.18989 -5.09264
4.19014 -5.09265
5.35071 -5.11485
5.35101 -5.11484
6.5599 -5.11843
6.56013 -5.11841
7.60226 -5.10457
7.60252 -5.10456
8.69816 -5.072
8.6984 -5.07197
9.79083 -5.01984
9.79117 -5.01978
10.8468 -4.94919
10.847 -4.94917
11.845 -4.86259
11.8452 -4.86256
13.0656 -4.72778
13.0694 -4.73061
13.7667 -4.63432
13.767 -4.63427
14.6936 -4.49092
14.6938 -4.49087
15.7693 -4.29242
15.7694 -4.29239
16.4228 -4.1526
16.423 -4.15253
17.2538 -3.95039
17.254 -3.95032
17.9156 -3.76678
17.9158 -3.76668
18.6043 -3.55126
18.6054 -3.55006
19.2541 -3.31794
19.2542 -3.31789
19.8546 -3.07279
19.8547 -3.0727
20.4056 -2.81535
20.4057 -2.81528
20.9063 -2.54607
20.9064 -2.546
21.3488 -2.27007
21.3489 -2.26999
21.7437 -1.98102
21.7438 -1.98095
22.0809 -1.68613
22.081 -1.68605
22.3602 -1.38723
22.3603 -1.3871
22.585 -1.08175
22.585 -1.08169
22.754 -0.770813
22.754 -0.770736
22.8663 -0.455043
22.8663 -0.45495
22.9202 -0.141116
22.9202 -0.141041
22.9153 0.188
22.9151 0.194628
22.8462 0.525766
22.8462 0.525855
22.7396 0.802037
22.7396 0.802161
22.5649 1.11268
22.5648 1.11279
22.3139 1.44151
22.3139 1.44159
22.0451 1.72023
22.045 1.72031
21.6941 2.02013
21.694 2.02023
21.1875 2.37561
21.1874 2.37568
20.8411 2.58333
20.841 2.58342
20.3495 2.84315
20.3494 2.84323
19.7111 3.13432
19.6492 3.16029
19.188 3.34297
19.1879 3.34303
18.5183 3.57897
18.5181 3.57903
17.6158 3.85258
17.6157 3.85264
17.007 4.01347
17.0068 4.01353
16.2631 4.18814
16.2629 4.18823
15.3574 4.37274
15.3571 4.37285
14.4908 4.5243
14.4906 4.52435
13.6621 4.649
13.6619 4.64903
12.5006 4.79427
12.5003 4.79432
11.7271 4.87384
11.7269 4.87387
10.7099 4.95949
10.7097 4.95951
9.65404 5.02743
9.65382 5.02745
8.55214 5.0774
8.55188 5.07742
7.44899 5.1076
7.44879 5.10761
6.35646 5.11923
6.35623 5.11924
4.91956 5.10866
4.91933 5.10866
4.07131 5.08935
4.07107 5.08935
2.9025 5.04765
2.90227 5.04764
1.6935 4.98681
1.69324 4.9868
0.525837 4.91164
0.525623 4.91163
-0.666615 4.81876
-0.666831 4.81874
-1.92709 4.70336
-1.92737 4.70333
-3.19498 4.56981
-3.19523 4.56978
-4.2412 4.44662
-4.24145 4.44659
-5.43064 4.29243
-5.43096 4.29238
-6.60336 4.12569
-6.60363 4.12564
-7.75965 3.94691
-7.75992 3.94686
-8.90263 3.75601
-8.90286 3.75596
-10.0281 3.55397
-10.0333 3.55299
-11.1359 3.34106
-11.1362 3.34098
-12.2093 3.12097
-12.2096 3.12088
-13.2552 2.89275
-13.2554 2.89271
-14.3303 2.64321
-14.3449 2.64769
-15.2546 2.41559
-15.2548 2.4155
-16.2028 2.16839
-16.203 2.16834
-17.1526 1.90546
-17.1528 1.90538
-17.9697 1.66548
-17.97 1.66534
-18.8101 1.40338
-18.8102 1.40329
-19.688 1.11019
-19.6881 1.11012
-20.4135 0.849894
-20.4137 0.849787
-20.954 0.642971
-20.9573 0.641604
-21.6304 0.364378
-21.6306 0.364273
-22.1344 0.138672
-22.1345 0.138605
-22.6357 -0.106668
-22.6357 -0.106731
-23.0812 -0.349161
-23.0813 -0.349244
-23.4643 -0.585321
-23.4644 -0.585447
-23.7868 -0.816577
-23.7869 -0.81668
-24.1019 -1.09797
-24.102 -1.09809
-24.2378 -1.2563
